date,username,bullet_rating,blitz_rating,rapid_rating,avg_bullet_blitz_rapid,puzzle_rating,puzzles_solved_total,puzzles_30d_attempted,puzzles_30d_solved,success_rate_30d_pct,avg_difficulty_30d
2026-03-24,lennart7,1164,1343,1330,1279.0,1696,55,0,0,,
2026-03-24,alwin2000,1868,1939,2067,1958.0,2560,1928,0,0,,
2026-03-24,aritzlakritz,1442,1762,1999,1734.3,2063,738,0,0,,
2026-03-24,windarrasatator,1584,1797,1895,1758.7,1912,533,0,0,,
2026-03-24,skklslmmlle-11,1610,1720,1802,1710.7,1882,991,0,0,,
2026-03-24,janniskassel09,1500,1500,1664,1554.7,1944,488,0,0,,
2026-03-24,panos3000,1123,1507,1828,1486.0,1945,288,0,0,,
2026-03-24,ferdi08,1157,1292,1570,1339.7,1136,190,0,0,,
2026-03-24,kyonoah,1190,1430,1328,1316.0,2015,7173,0,0,,
2026-03-24,vgiagourta,1239,1404,1646,1429.7,1730,470,0,0,,
2026-03-24,karolina007,1434,1870,1779,1694.3,,0,0,0,,
2026-03-24,laura_dxn,1666,2114,2298,2026.0,2706,818,0,0,,
2026-03-24,arturbh,1077,1421,1283,1260.3,1359,1641,0,0,,
2026-03-24,chessmasterm_liebig,2225,1957,1920,2034.0,2001,2695,0,0,,
2026-03-24,bossbaby1502,1604,1301,1471,1458.7,1683,6008,0,0,,
2026-03-24,schach-ag_liebig,1500,1500,1253,1417.7,625,347,0,0,,
2026-03-24,elohunter99,2660,2541,2367,2522.7,2599,186,0,0,,
2026-03-24,drfranky001,2181,2216,2213,2203.3,2400,903,0,0,,
2026-03-24,sutsuj,2320,2392,2331,2347.7,2650,2351,0,0,,
2026-03-24,wblodw,2501,2532,2504,2512.3,2474,40628,0,0,,
2026-03-24,jsf99,1500,1271,1389,1386.7,2012,12,0,0,,
2026-03-24,fluentcoding,1523,1639,1742,1634.7,2307,1458,0,0,,
2026-03-24,royal_seeker,2301,2118,2310,2243.0,2608,1026,0,0,,
2026-03-24,rau_andrei,1376,1407,1342,1375.0,1948,144,0,0,,
2026-03-24,daria_ffm,1335,1169,1179,1227.7,,0,0,0,,
2026-03-24,konanderbarbar,2460,2331,2324,2371.7,2236,7,0,0,,
2026-03-24,sjsh_online,2187,2211,1500,1966.0,2206,40,0,0,,
2026-03-24,clairewerk,2247,2260,2243,2250.0,2373,5639,0,0,,
2026-03-24,sunkang,2404,2086,2004,2164.7,2184,15327,0,0,,
2026-03-24,kanasa_3206,1042,1112,1357,1170.3,1465,2330,0,0,,
2026-03-24,therealnewton,1730,2097,2000,1942.3,2412,197,0,0,,
2026-03-24,miko539,1975,1747,1659,1793.7,1926,1754,0,0,,
2026-03-24,florin08,2211,2125,1855,2063.7,2213,132,0,0,,
2026-03-24,gx_jj,1240,1244,1257,1247.0,870,73,0,0,,
2026-03-24,markimaus,2344,2209,2202,2251.7,2808,2444,0,0,,
2026-03-24,bmw24,2003,2053,2248,2101.3,2359,2215,0,0,,
2026-03-24,tawi29,1467,1602,1755,1608.0,1831,302,0,0,,
2026-03-24,tirk16,1500,1387,1363,1416.7,1560,54,0,0,,
2026-03-24,musketier,1659,1836,2053,1849.3,2326,2083,0,0,,
2026-03-24,sven_lesche,1853,1964,2139,1985.3,2378,2165,0,0,,
2026-03-24,herborner1,2055,2137,2142,2111.3,2083,31,0,0,,
2026-03-24,day4mc,1575,2034,1967,1858.7,2385,324,0,0,,
2026-03-24,feanorscurse,1739,2106,2207,2017.3,2123,2811,0,0,,
2026-03-24,neimand,2238,2069,1500,1935.7,2487,61,0,0,,
2026-03-24,liezilein,1614,1893,1500,1669.0,2171,661,0,0,,
2026-03-24,momo0042,1696,1736,1848,1760.0,1893,937,0,0,,
2026-03-24,diecoolen007,1585,1568,1894,1682.3,1729,700,0,0,,
2026-03-24,vitkol,1500,1561,1844,1635.0,1889,57,0,0,,
2026-03-24,jup523,1500,2016,1747,1754.3,2081,22,0,0,,
2026-03-24,ksnklbr,1811,1592,1768,1723.7,1867,1283,0,0,,
2026-03-24,jogru,2324,2088,2393,2268.3,2473,1180,0,0,,
2026-03-24,nadanada98,2051,2265,2267,2194.3,2303,89,0,0,,
2026-03-24,chessan,2008,2113,2248,2123.0,2263,111,0,0,,
2026-03-24,fusselplayer,2037,2024,1911,1990.7,2156,1093,0,0,,
2026-03-24,theabi,1979,2262,1211,1817.3,2109,64,0,0,,
2026-03-24,traenenlos345,2111,2298,2208,2205.7,2370,1509,0,0,,
2026-03-24,kekzbaum,1579,1483,1483,1515.0,1427,194,0,0,,
2026-03-24,logicer,2108,2359,2399,2288.7,2542,3298,0,0,,
2026-03-24,p41100,2030,1919,1747,1898.7,2915,34,0,0,,
2026-03-24,kathryna,1982,2024,2247,2084.3,2432,1223,0,0,,
2026-03-24,feyre17,1769,2045,2395,2069.7,2516,807,0,0,,
2026-03-24,bieberelch,2065,2004,2005,2024.7,2287,62,0,0,,
2026-03-24,crazyvictims,1982,1859,2026,1955.7,2367,1731,0,0,,
2026-03-24,ganjaguyover9000,2301,2215,2257,2257.7,2165,7480,0,0,,
2026-03-24,p0t_randbauer,1946,1760,1961,1889.0,1783,93,0,0,,
2026-03-24,m-p-m,2527,2316,2309,2384.0,2517,508,0,0,,
2026-03-24,noiretblanc,2018,2229,2182,2143.0,2200,1,0,0,,
2026-03-24,andymatheffm,1593,1508,1665,1588.7,1834,10,0,0,,
2026-03-24,schachlp,2005,1931,2054,1996.7,2256,2165,0,0,,
2026-03-24,destroyernumber1,2661,2416,2487,2521.3,2522,988,0,0,,
2026-03-24,stefstefstefstef,1600,1749,1500,1616.3,,0,0,0,,
2026-03-24,zijuk,2518,2493,2533,2514.7,2818,3100,0,0,,
2026-03-24,hel_ma,1562,1859,1970,1797.0,2260,203,0,0,,
2026-03-24,thomas_xiaoteng,1812,1949,1733,1831.3,3003,3505,0,0,,
2026-03-24,tschaikowskij,1500,1144,1191,1278.3,1513,190,0,0,,
2026-03-24,chaosprinzessin,1500,1367,1770,1545.7,,0,0,0,,
2026-03-24,chessrpv,1935,2095,2255,2095.0,2008,2350,0,0,,
2026-03-24,lenny2010,1445,1244,1202,1297.0,1256,533,0,0,,
2026-03-24,bleichkind,2617,2468,2570,2551.7,2567,2012,0,0,,
2026-03-24,lucky_76,1359,1500,1710,1523.0,2354,2070,0,0,,
2026-03-24,flohahn22,1609,2101,1999,1903.0,2125,722,0,0,,
2026-03-24,bruto130199,2491,2284,2245,2340.0,2313,1118,0,0,,
2026-03-24,hypercloxy,2258,2325,1500,2027.7,2260,39,0,0,,
2026-03-24,broetchen,2904,2753,2604,2753.7,2540,2931,0,0,,
2026-03-24,pandabozz,1500,2258,1333,1697.0,2383,337,0,0,,
2026-03-24,raggiepotato05,1695,1876,2020,1863.7,2303,684,0,0,,
2026-03-24,theoriegott,2201,2049,2006,2085.3,2445,1217,0,0,,
2026-03-24,kokololo1,2199,2075,2121,2131.7,2389,1469,0,0,,
2026-03-24,fatupha,1705,1789,1740,1744.7,2080,102,0,0,,
2026-03-24,hsj,2116,1845,1380,1780.3,1774,138,0,0,,
2026-03-24,blunderjan,1295,1959,1878,1710.7,2204,197,0,0,,
2026-03-24,jonas95,2453,2483,2500,2478.7,2513,576,0,0,,
