username,puzzles_solved_baseline,joined_at
bosnjakinja,3,2026-03-29 16:05 UTC
burgir_ohne_tomaten,6390,2026-03-29 16:05 UTC
clairewerk,5660,2026-03-29 16:05 UTC
commonelk,5541,2026-03-29 16:05 UTC
hsj,160,2026-03-29 16:05 UTC
pizza00guy,1094,2026-03-29 16:05 UTC
roadtotitel,195,2026-03-29 16:05 UTC
test_hsj,5,2026-03-29 17:45 UTC
traenenlos345,1509,2026-03-29 16:05 UTC
zijuk,3100,2026-03-29 16:05 UTC
